# PhotoSchedule backup — 2026-04-20 — 1136 rows
date,type,artist,venue,shooting,management,status,comment
2009-08-19,Sykling,Oslo Grand Prix,Karl Johans gate,Annet,,Ferdig,
2010-06-16,Konsert,Levi Henriksen og Thomas Mårud,Rockefeller,Annet,,Ferdig,Einar Einarsson 60 år
2010-08-10,Sykling,Oslo Grand Prix,Karl Johans gate,Annet,,Ferdig,
2012-12-08,Konsert,Odd Rene Andersen - My Motown,Båthuset Fredrikstad,Annet,,Ferdig,Privat
2013-03-16,Konsert,The Vineyards,Revolver,Annet,,Ferdig,Kjartan Dannant
2013-08-15,Konsert,Roger Waters - The Wall Live,Unity Arena,Annet,,Ferdig,Privat
2013-11-24,Konsert,Black Sabbath,Spektrum,Annet,,Ferdig,Publikum
2014-03-23,Skiskyting,World Cup Skiskyting,Holmenkollen,Annet,,Ferdig,
2014-06-18,Konsert,Uncle Acid and The Deadbeats,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Kvelertak,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Blaze Bayley,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Valentourettes,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Sagh,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Spirits of The Dead,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Volbeat,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Deathcrush,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Shining,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-19,Konsert,Witchhammer,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,TNT,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,W.A.S.P,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,In Solitude,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,Year of The Goat,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,Avatarium,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,Black Debbath,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,Thulsa Doom,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,Ghost,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-20,Konsert,Oslo ESS,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Silver,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Sepultura,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Sabaton,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Jorn,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Backstreet Girls,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Audrey Horn,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Kampfar,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Turbonegro,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-21,Konsert,Anthrax,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-22,Konsert,Slayer,Tons of Rock,Tons of Rock,,Ferdig,
2014-06-27,Konsert,Soilwork,Tons of Rock,Tons of Rock,,Ferdig,
2014-08-30,Annet,Beach volleyball,Oslo S,Annet,,Ferdig,
2014-11-10,Konsert,JCB featuring Nathalie Dorra,SAP TechEd Barcelona,Annet,,Ferdig,- Stephanie Crutchfield and Shave Randle
2015-03-15,Langrenn,World Cup 15 km Damer,Holmenkollen,Annet,,Ferdig,
2015-06-18,Konsert,Testament,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Ihsahn,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Parkway Drive,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Black Debbath,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Backyard Babies,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Kiss Army,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Opeth,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-18,Konsert,Bömbers,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,DumDumBoys,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Niterain,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Graveyard,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Pagans Minds,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Diamondog,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Gorija,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Mayhem,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-19,Konsert,Studfaust,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Dumderbeist,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Creator,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Solstafir,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Triosphare,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Seigmen,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Rammsund,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Artch,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Venom,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,Fleshgod Apocalypse,Tons of Rock,Tons of Rock,,Ferdig,
2015-06-20,Konsert,In Flames,Tons of Rock,Tons of Rock,,Ferdig,
2015-12-09,Konsert,Penthous Playboys,Rockefeller,Annet,,Ferdig,
2016-02-07,Langrenn,3-mila langrenn damer,Holmenkollen,Annet,,Ferdig,
2016-06-18,Konsert,Kurt Nilsen,Idyll,Annet,,Ferdig,Privat
2016-06-18,Konsert,Marcus & Martinus,Idyll,Annet,,Ferdig,Privat
2016-06-18,Konsert,Freddy Kalas,Idyll,Annet,,Ferdig,Privat
2016-06-18,Konsert,Vamp,Idyll,Annet,,Ferdig,Privat
2016-06-18,Konsert,Erik & Kriss,Idyll,Annet,,Ferdig,Privat
2016-06-23,Konsert,Leprous,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Black Sabbath,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Rival Sons,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Mannskoret,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Blodstupmoen,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Vreid,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Raga Rockers,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-23,Konsert,Pil og Bue,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Below,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,SixxAM,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Eurotrash,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Converge,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Vaya Con Satan,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Black Debbath,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Alice Cooper,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,El Caco,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Ghost,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,The Dogs,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,The Shrine,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-24,Konsert,Mork,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Freedumb,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Hedvig Mollestad Trio,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Megadeath,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,DrJoeAndTheFusionClinic,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Carburators,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Nekromantheon,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Amon Amarth,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Havok,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Les Punx,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Ammunition,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Steak Number Eight,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Vasterbron,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Pain ,Tons of Rock,Tons of Rock,,Ferdig,
2016-06-25,Konsert,Behemot,Tons of Rock,Tons of Rock,,Ferdig,
2016-07-03,Konsert,Pulse of Floyd,Fredikstad sentrum,Annet,Privat,Ferdig,
2017-03-11,Konsert,Kombinert,Holmenkollen,Annet,,Ferdig,
2017-03-11,Langrenn,5-mila,Holmenkollen,Annet,,Ferdig,
2017-06-07,Konsert,Julie Bergan,Elkjøp Awards Gardermoen,Annet,,Ferdig,
2017-06-22,Konsert,Bölzer,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Anekdote,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Eluveitie,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Bombus,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Honningbarna,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Candelmass,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Myrkur,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,TNT,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Marky Ramone,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Rob Zombie,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-22,Konsert,Turbonegro,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Me and That Man,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Devin Townsend Project,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Diamon Head,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Avatar,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Black Debbath,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Swing of Death,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Slayer,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Deathammer,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Black Magic,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Emperor,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Spidergrowd,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Aiming to Enrike,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Rotting Christ,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-23,Konsert,Phil Campbell and The Bastard Sons,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Vazelina,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Enslaved,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Dreamarcher,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Virus,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Wildnite,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Sabaton,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Horizont,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Taake,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Amarante,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Satyricon,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Delain,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Five Finger Death Punch,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Sodom,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Airborn,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Beaten to Death,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-24,Konsert,Black Star Riders,Tons of Rock,Tons of Rock,,Ferdig,
2017-06-29,Konsert,Postgirobygget,Oscarsborg,Annet,,Ferdig,Skye kundesamling
2017-06-30,Konsert,CC Cowboys,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus
2017-06-30,Konsert,Staut,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus
2017-06-30,Konsert,Måndag,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus
2017-06-30,Konsert,Splitter Pine,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus 
2017-07-01,Konsert,Sari Schorr & The Engine Room,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus 
2017-07-01,Konsert,Fett Nok,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus 
2017-07-01,Konsert,Dodging Bullets,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus
2017-07-01,Konsert,Billy Burnette,Blaker Skanse,Jørgen Kirsebom,,Ferdig,Trallaus 
2017-07-21,Konsert,Lissie,Månefestivalen,Festivalguide,,Ferdig,
2017-07-21,Konsert,Mad Con,Månefestivalen,Festivalguide,,Ferdig,
2017-07-21,Konsert,Mari Boine,Månefestivalen,Festivalguide,,Ferdig,
2017-07-22,Konsert,Naga Siren,Månefestivalen,Festivalguide,,Ferdig,
2017-07-22,Konsert,Bob Hund,Månefestivalen,Festivalguide,,Ferdig,
2017-07-22,Konsert,De Marvells,Månefestivalen,Festivalguide,,Ferdig,
2017-07-22,Konsert,Valentourettes,Månefestivalen,Festivalguide,,Ferdig,
2017-07-22,Konsert,Johnossi,Månefestivalen,Festivalguide,,Ferdig,
2017-07-22,Konsert,Jaa9 & OnklP,Månefestivalen,Festivalguide,,Ferdig,
2017-07-23,Konsert,Twintoulouse,Månefestivalen,Festivalguide,,Ferdig,
2017-07-23,Konsert,Hajk,Månefestivalen,Festivalguide,,Ferdig,
2017-07-23,Konsert,Savage Rose,Månefestivalen,Festivalguide,,Ferdig,
2017-07-23,Konsert,Lisa Ekdahl,Månefestivalen,Festivalguide,,Ferdig,
2017-07-23,Konsert,Magic Pie,Månefestivalen,Festivalguide,,Ferdig,
2017-07-23,Konsert,Per Gessle,Månefestivalen,Festivalguide,,Ferdig,
2017-09-09,Konsert,Marianne Antonsen,Tollbodplassen,Festivalguide,,Ferdig,Fredrikstad 400 års jubileum
